Section,Table,Category,Parameter,Value,Notes
Executive Summary,Fundraising Overview,Stage 1,"Seed Round",,
Executive Summary,Fundraising Overview,Timing,Seed Round,"Feb-Mar 2026",
Executive Summary,Fundraising Overview,Source,Seed Round,"Friends & Family / Zhyra Network",
Executive Summary,Fundraising Overview,Target Raise,Seed Round,"$1,000,000",
Executive Summary,Fundraising Overview,FDV,Seed Round,"$100M",
Executive Summary,Fundraising Overview,Token Price,Seed Round,"$0.01",
Executive Summary,Fundraising Overview,Tokens Sold,Seed Round,"100,000,000",
Executive Summary,Fundraising Overview,"% of Supply",Seed Round,"1.00%",
Executive Summary,Fundraising Overview,Cumulative %,Seed Round,"1.00%",
Executive Summary,Fundraising Overview,Stage 2,"Community Round",,
Executive Summary,Fundraising Overview,Timing,Community Round,"May-Jun 2026",
Executive Summary,Fundraising Overview,Source,Community Round,"Echo Platform",
Executive Summary,Fundraising Overview,Target Raise,Community Round,"$6,000,000",
Executive Summary,Fundraising Overview,FDV,Community Round,"$150M",
Executive Summary,Fundraising Overview,Token Price,Community Round,"$0.015",
Executive Summary,Fundraising Overview,Tokens Sold,Community Round,"400,000,000",
Executive Summary,Fundraising Overview,"% of Supply",Community Round,"4.00%",
Executive Summary,Fundraising Overview,Cumulative %,Community Round,"5.00%",
Executive Summary,Fundraising Overview,Stage 3,"Strategic Round",,
Executive Summary,Fundraising Overview,Timing,Strategic Round,"Aug-Sep 2026",
Executive Summary,Fundraising Overview,Source,Strategic Round,"Sovereign/Corporate + Binance",
Executive Summary,Fundraising Overview,Target Raise,Strategic Round,"$2,500,000",
Executive Summary,Fundraising Overview,FDV,Strategic Round,"$250M",
Executive Summary,Fundraising Overview,Token Price,Strategic Round,"$0.025",
Executive Summary,Fundraising Overview,Tokens Sold,Strategic Round,"100,000,000",
Executive Summary,Fundraising Overview,"% of Supply",Strategic Round,"1.00%",
Executive Summary,Fundraising Overview,Cumulative %,Strategic Round,"6.00%",
Executive Summary,Fundraising Overview,Stage 4,"Exchange Sale",,
Executive Summary,Fundraising Overview,Timing,Exchange Sale,"Oct-Nov 2026",
Executive Summary,Fundraising Overview,Source,Exchange Sale,"Binance Prime Sale",
Executive Summary,Fundraising Overview,Target Raise,Exchange Sale,"$5,250,000",
Executive Summary,Fundraising Overview,FDV,Exchange Sale,"$300M",
Executive Summary,Fundraising Overview,Token Price,Exchange Sale,"$0.03",
Executive Summary,Fundraising Overview,Tokens Sold,Exchange Sale,"175,000,000",
Executive Summary,Fundraising Overview,"% of Supply",Exchange Sale,"1.75%",
Executive Summary,Fundraising Overview,Cumulative %,Exchange Sale,"7.75%",
Executive Summary,Fundraising Overview,TOTAL,"Total Raise","$14,750,000",
Executive Summary,Fundraising Overview,TOTAL,"Total Tokens Sold","775,000,000",
Executive Summary,Fundraising Overview,TOTAL,"Total % of Supply","7.75%",
Executive Summary,Fundraising Overview,TGE Target,TGE FDV,"$3,000,000,000","Dec 7-10, 2026 @ ADFW",
Executive Summary,Fundraising Overview,TGE Target,TGE Token Price,"$0.30",

Tokenomics,Token Allocation,Compute / PoUW Rewards,"%",30%,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Total Tokens","3,000,000,000",
Tokenomics,Token Allocation,Compute / PoUW Rewards,"TGE Unlock",0%,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Post-Cliff Monthly Unlock (%)",0.833%,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Post-Cliff Monthly Unlock (Tokens)","25,000,000",
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Total Period (months)",120,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Cliff (months)",0,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Vesting Type",Linear,
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Vesting Details","120 months linear",
Tokenomics,Token Allocation,Compute / PoUW Rewards,"Purpose","Validator incentives for H100/TEE operators—10-year program",
Tokenomics,Token Allocation,Core Contributors,"%",20%,
Tokenomics,Token Allocation,Core Contributors,"Total Tokens","2,000,000,000",
Tokenomics,Token Allocation,Core Contributors,"TGE Unlock",0%,
Tokenomics,Token Allocation,Core Contributors,"Post-Cliff Monthly Unlock (%)",2.083%,
Tokenomics,Token Allocation,Core Contributors,"Post-Cliff Monthly Unlock (Tokens)","41,666,667",
Tokenomics,Token Allocation,Core Contributors,"Total Period (months)",48,
Tokenomics,Token Allocation,Core Contributors,"Cliff (months)",12,
Tokenomics,Token Allocation,Core Contributors,"Vesting Type","Cliff + Linear",
Tokenomics,Token Allocation,Core Contributors,"Vesting Details","25% at 12-month cliff (500M), then 36 months linear",
Tokenomics,Token Allocation,Core Contributors,"Purpose","Team alignment, 4-year commitment with 25% at mainnet milestone",
Tokenomics,Token Allocation,Ecosystem & Grants,"%",15%,
Tokenomics,Token Allocation,Ecosystem & Grants,"Total Tokens","1,500,000,000",
Tokenomics,Token Allocation,Ecosystem & Grants,"TGE Unlock",5%,
Tokenomics,Token Allocation,Ecosystem & Grants,"TGE Unlock Tokens","75,000,000",
Tokenomics,Token Allocation,Ecosystem & Grants,"Post-Cliff Monthly Unlock (%)",1.58%,
Tokenomics,Token Allocation,Ecosystem & Grants,"Post-Cliff Monthly Unlock (Tokens)","23,750,000",
Tokenomics,Token Allocation,Ecosystem & Grants,"Total Period (months)",60,
Tokenomics,Token Allocation,Ecosystem & Grants,"Cliff (months)",6,
Tokenomics,Token Allocation,Ecosystem & Grants,"Vesting Type",Linear,
Tokenomics,Token Allocation,Ecosystem & Grants,"Vesting Details","54 months linear post-cliff",
Tokenomics,Token Allocation,Ecosystem & Grants,"Purpose","Developer adoption, dApp incentives",
Tokenomics,Token Allocation,Aethelred Labs Treasury,"%",10%,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Total Tokens","1,000,000,000",
Tokenomics,Token Allocation,Aethelred Labs Treasury,"TGE Unlock",0%,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Post-Cliff Monthly Unlock (%)",2.083%,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Post-Cliff Monthly Unlock (Tokens)","20,833,333",
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Total Period (months)",60,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Cliff (months)",12,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Vesting Type",Linear,
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Vesting Details","48 months linear post-cliff",
Tokenomics,Token Allocation,Aethelred Labs Treasury,"Purpose","Operational runway, working capital",
Tokenomics,Token Allocation,Public Sale (Community),"%",10%,
Tokenomics,Token Allocation,Public Sale (Community),"Total Tokens","1,000,000,000",
Tokenomics,Token Allocation,Public Sale (Community),"TGE Unlock","22.5%",
Tokenomics,Token Allocation,Public Sale (Community),"TGE Unlock Tokens","225,000,000",
Tokenomics,Token Allocation,Public Sale (Community),"Post-Cliff Monthly Unlock (%)",4.167%,
Tokenomics,Token Allocation,Public Sale (Community),"Post-Cliff Monthly Unlock (Tokens)","29,166,667",
Tokenomics,Token Allocation,Public Sale (Community),"Total Period (months)",24,
Tokenomics,Token Allocation,Public Sale (Community),"Cliff (months)",0,
Tokenomics,Token Allocation,Public Sale (Community),"Vesting Type",Linear,
Tokenomics,Token Allocation,Public Sale (Community),"Vesting Details","75% over 18 months",
Tokenomics,Token Allocation,Public Sale (Community),"Purpose","Echo + Exchange + Airdrop",
Tokenomics,Token Allocation,Strategic Investors,"%",5%,
Tokenomics,Token Allocation,Strategic Investors,"Total Tokens","500,000,000",
Tokenomics,Token Allocation,Strategic Investors,"TGE Unlock",0%,
Tokenomics,Token Allocation,Strategic Investors,"Post-Cliff Monthly Unlock (%)",2.083%,
Tokenomics,Token Allocation,Strategic Investors,"Post-Cliff Monthly Unlock (Tokens)","10,416,667",
Tokenomics,Token Allocation,Strategic Investors,"Total Period (months)",48,
Tokenomics,Token Allocation,Strategic Investors,"Cliff (months)",12,
Tokenomics,Token Allocation,Strategic Investors,"Vesting Type",Linear,
Tokenomics,Token Allocation,Strategic Investors,"Vesting Details","36 months linear post-cliff",
Tokenomics,Token Allocation,Strategic Investors,"Purpose","Seed + Strategic + Binance",
Tokenomics,Token Allocation,Insurance / Stability Fund,"%",5%,
Tokenomics,Token Allocation,Insurance / Stability Fund,"Total Tokens","500,000,000",
Tokenomics,Token Allocation,Insurance / Stability Fund,"TGE Unlock",10%,
Tokenomics,Token Allocation,Insurance / Stability Fund,"TGE Unlock Tokens","50,000,000",
Tokenomics,Token Allocation,Insurance / Stability Fund,"Post-Cliff Monthly Unlock (%)",1.50%,
Tokenomics,Token Allocation,Insurance / Stability Fund,"Post-Cliff Monthly Unlock (Tokens)","7,500,000",
Tokenomics,Token Allocation,Insurance / Stability Fund,"Total Period (months)",30,
Tokenomics,Token Allocation,Insurance / Stability Fund,"Cliff (months)",0,
Tokenomics,Token Allocation,Insurance / Stability Fund,"Vesting Type",Linear,
Tokenomics,Token Allocation,Insurance / Stability Fund,"Vesting Details","30 months linear",
Tokenomics,Token Allocation,Insurance / Stability Fund,"Purpose","Slashing appeals, bridge hack indemnification",
Tokenomics,Token Allocation,Foundation Reserve,"%",5%,
Tokenomics,Token Allocation,Foundation Reserve,"Total Tokens","500,000,000",
Tokenomics,Token Allocation,Foundation Reserve,"TGE Unlock",0%,
Tokenomics,Token Allocation,Foundation Reserve,"Post-Cliff Monthly Unlock (%)",1.042%,
Tokenomics,Token Allocation,Foundation Reserve,"Post-Cliff Monthly Unlock (Tokens)","5,208,333",
Tokenomics,Token Allocation,Foundation Reserve,"Total Period (months)",60,
Tokenomics,Token Allocation,Foundation Reserve,"Cliff (months)",12,
Tokenomics,Token Allocation,Foundation Reserve,"Vesting Type",Linear,
Tokenomics,Token Allocation,Foundation Reserve,"Vesting Details","48 months linear post-cliff",
